Id,Start,Name,Impact,Currency
4dd11a9e-46b6-42c9-9ab6-2760aae76c4d,01/02/2019 09:00:00,HCOB Manufacturing PMI,MEDIUM,EUR
7f575e19-6ae0-4992-b515-8b62e364b259,01/02/2019 14:45:00,S&P Global Manufacturing PMI,MEDIUM,USD
808c485e-b706-47c9-aff1-20a8cc968cfb,01/03/2019 13:15:00,ADP Employment Change,MEDIUM,USD
85b96924-55d2-4aef-8a45-d3037e5a3d12,01/03/2019 13:30:00,Initial Jobless Claims,MEDIUM,USD
15ba4ae0-1d30-40d8-8d30-1d58dcbce871,01/03/2019 13:30:00,Initial Jobless Claims 4-week average,MEDIUM,USD
e8c6e05f-88ca-4f9d-a17a-f7e020d85c68,01/03/2019 15:00:00,ISM Manufacturing Employment Index,MEDIUM,USD
f8e1f7e7-7e5d-4bc7-bb78-0d5e3fcf47fc,01/03/2019 15:00:00,ISM Manufacturing New Orders Index,MEDIUM,USD
727acd73-bc4e-4816-aa57-09cd19c22348,01/03/2019 15:00:00,ISM Manufacturing PMI,HIGH,USD
1405fae8-85a1-46bb-a1ff-8209705d8fff,01/03/2019 15:00:00,ISM Manufacturing Prices Paid,MEDIUM,USD
a2d84d16-9c8b-4710-b89b-bfa85c8f991e,01/04/2019 09:00:00,HCOB Composite PMI,MEDIUM,EUR
ae865e11-2f27-46eb-b0aa-79fe07826c6c,01/04/2019 09:00:00,HCOB Services PMI,MEDIUM,EUR
a2fede27-10c2-4cd1-b7c4-22fe98a3865d,01/04/2019 10:00:00,Core Harmonized Index of Consumer Prices (YoY),HIGH,EUR
e54af13e-da84-4873-ac96-7c9abe79d0a1,01/04/2019 10:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
e0aac2d6-b91d-4411-96d0-764ad260b8d3,01/04/2019 13:30:00,Average Hourly Earnings (MoM),MEDIUM,USD
82795720-301c-4450-a2b8-5373020a71f3,01/04/2019 13:30:00,Average Hourly Earnings (YoY),HIGH,USD
b1a933d2-a85a-495a-b019-b6ae6c979488,01/04/2019 13:30:00,Labor Force Participation Rate,MEDIUM,USD
3c6185fc-cb22-47f2-9bbf-4ed785ce5884,01/04/2019 13:30:00,Nonfarm Payrolls,HIGH,USD
7b7d011c-f6d8-4567-94d2-672e83f799a7,01/04/2019 13:30:00,Unemployment Rate,MEDIUM,USD
216009ef-d3b3-4457-af3e-d04f84c30a45,01/04/2019 14:45:00,S&P Global Composite PMI,MEDIUM,USD
9a13d429-6c08-4256-85a0-d3b6a5119962,01/04/2019 14:45:00,S&P Global Services PMI,MEDIUM,USD
850bfc8d-8ea6-4a1b-9609-1542e2337d74,01/04/2019 15:15:00,Fed's Bostic speech,MEDIUM,USD
26f8c1fa-0904-45dc-ad55-3c8be47f5668,01/04/2019 15:15:00,Fed's Chair Powell speech,HIGH,USD
